Date,Forecasted value,Pseudonym,Actual value,Absolute Error
2025-10-11 10:15:13,#N/A,House Forecast 2 Submission,322.22,
2025-10-11 10:15:11,#N/A,House Forecast 1 Submission,322.22,
2025-10-11 10:55:43,nan,Forecast Hi-Lo Spread DAA DE-LU,322.22,
2025-10-12 10:15:13,#N/A,House Forecast 2 Submission,72.07,
2025-10-12 10:15:11,#N/A,House Forecast 1 Submission,72.07,
2025-10-12 10:55:41,nan,Forecast Hi-Lo Spread DAA DE-LU,72.07,
2025-10-13 10:15:12,#N/A,House Forecast 2 Submission,422.2,
2025-10-13 10:15:10,#N/A,House Forecast 1 Submission,422.2,
2025-10-13 10:56:11,nan,Forecast Hi-Lo Spread DAA DE-LU,422.2,
2025-10-14 10:15:14,#N/A,House Forecast 1 Submission,273.15,
2025-10-14 10:15:15,#N/A,House Forecast 2 Submission,273.15,
2025-10-14 10:55:45,nan,Forecast Hi-Lo Spread DAA DE-LU,273.15,
2025-10-15 10:15:08,273.15,House Forecast 1 Submission,88.57,184.58
2025-10-15 10:15:11,#N/A,House Forecast 2 Submission,88.57,
2025-10-15 10:55:54,nan,Forecast Hi-Lo Spread DAA DE-LU,88.57,
2025-10-16 10:15:13,180.86,House Forecast 2 Submission,79.63,101.23
2025-10-16 10:15:14,155.59,House Forecast 3 Submission,79.63,75.96
2025-10-16 10:15:11,88.57,House Forecast 1 Submission,79.63,8.94
2025-10-16 10:56:03,nan,Forecast Hi-Lo Spread DAA DE-LU,79.63,
2025-10-17 10:15:12,83.43,Dodona,97.7,14.27
2025-10-17 10:15:11,78.29,Persistence,97.7,19.41
2025-10-17 10:15:15,79.64,Didyma,97.7,18.06
2025-10-17 10:55:54,nan,Forecast Hi-Lo Spread DAA DE-LU,97.7,
2025-10-18 10:15:11,151.74,Dodona,112.92,38.82
2025-10-18 10:15:10,88.00,Persistence,112.92,24.92
2025-10-18 10:15:09,97.70,Didyma,112.92,15.22
2025-10-18 10:55:50,nan,Forecast Hi-Lo Spread DAA DE-LU,112.92,
2025-10-19 10:15:12,112.92,Didyma,101.15,11.77
2025-10-19 10:15:11,105.31,Dodona,101.15,4.16
2025-10-19 10:15:13,94.23,Persistence,101.15,6.92
2025-10-19 10:55:42,nan,Forecast Hi-Lo Spread DAA DE-LU,101.15,
2025-10-21 10:15:14,127.63,Persistence,273.55,145.92
2025-10-21 10:15:15,114.39,Dodona,273.55,159.16
2025-10-21 10:15:17,167.31,Didyma,273.55,106.24
2025-10-21 10:56:37,nan,Forecast Hi-Lo Spread DAA DE-LU,273.55,
2025-10-22 10:15:07,260.99,Persistence,77.39,183.60
2025-10-22 10:15:08,194.31,Dodona,77.39,116.92
2025-10-22 10:15:10,159.06,Didyma,77.39,81.67
2025-10-22 10:55:53,nan,Forecast Hi-Lo Spread DAA DE-LU,77.39,
2025-10-23 10:15:10,136.56,Didyma,88.98,47.58
2025-10-23 10:15:08,165.69,Dodona,88.98,76.71
2025-10-23 10:15:07,70.39,Persistence,88.98,18.59
2025-10-23 10:56:26,nan,Forecast Hi-Lo Spread DAA DE-LU,88.98,
2025-10-24 10:15:12,88.98,Persistence,66.21,22.77
2025-10-24 10:15:14,79.69,Dodona,66.21,13.48
2025-10-24 10:15:17,85.69,Didyma,66.21,19.48
2025-10-24 10:56:11,nan,Forecast Hi-Lo Spread DAA DE-LU,66.21,
