Date,Forecasted value,Pseudonym,Actual value,Absolute Error
04/14/2026,185.34,Didyma,161.55,23.79
04/14/2026,192.36,Persistence,161.55,30.81
04/14/2026,157.54,Dodona,161.55,4.01
04/14/2026,230.28,Electricity Maps Model DE_price_day_ahead,161.55,68.73
04/15/2026,161.55,Persistence,172.02,10.47
04/15/2026,175.33,Didyma,172.02,3.31
04/15/2026,176.96,Dodona,172.02,4.94
04/15/2026,184.91,Electricity Maps Model DE_price_day_ahead,172.02,12.89
04/16/2026,190.33,Didyma,163.43,26.90
04/16/2026,172.02,Persistence,163.43,8.59
04/16/2026,166.79,Dodona,163.43,3.36
04/16/2026,181.94,Electricity Maps Model DE_price_day_ahead,163.43,18.51
04/17/2026,167.73,Dodona,155.94,11.79
04/17/2026,190.97,Didyma,155.94,35.03
04/17/2026,163.43,Persistence,155.94,7.49
04/17/2026,156.85,Electricity Maps Model DE_price_day_ahead,155.94,0.91
04/18/2026,159.69,Dodona,134.07,25.62
04/18/2026,155.94,Persistence,134.07,21.87
04/18/2026,158.81,Didyma,134.07,24.74
04/18/2026,141.58,Electricity Maps Model DE_price_day_ahead,134.07,7.51
04/19/2026,145.01,Dodona,143.99,1.02
04/19/2026,134.07,Persistence,143.99,9.92
04/19/2026,137.57,Didyma,143.99,6.42
04/19/2026,165.61,Electricity Maps Model DE_price_day_ahead,143.99,21.62
04/20/2026,139.03,Dodona,159.44,20.41
04/20/2026,143.99,Persistence,159.44,15.45
04/20/2026,156.81,Didyma,159.44,2.63
04/20/2026,147.66,Electricity Maps Model DE_price_day_ahead,159.44,11.78
04/21/2026,159.44,Persistence,205.87,46.43
04/21/2026,154.99,Didyma,205.87,50.88
04/21/2026,151.72,Dodona,205.87,54.15
04/21/2026,207.73,Electricity Maps Model DE_price_day_ahead,205.87,1.86
04/22/2026,205.87,Persistence,201.86,4.01
04/22/2026,182.66,Dodona,201.86,19.20
04/22/2026,179.11,Didyma,201.86,22.75
04/22/2026,150.29,Electricity Maps Model DE_price_day_ahead,201.86,51.57
04/23/2026,201.86,Persistence,209.71,7.85
04/23/2026,190.39,Didyma,209.71,19.32
04/23/2026,203.87,Dodona,209.71,5.84
04/23/2026,148.91,Electricity Maps Model DE_price_day_ahead,209.71,60.80
04/24/2026,209.71,Persistence,308.42,98.71
04/24/2026,205.79,Dodona,308.42,102.63
04/24/2026,189.17,Didyma,308.42,119.25
04/24/2026,139.10,Electricity Maps Model DE_price_day_ahead,308.42,169.32
04/25/2026,308.42,Persistence,669.29,360.87
04/25/2026,259.07,Dodona,669.29,410.22
04/25/2026,217.40,Didyma,669.29,451.89
04/25/2026,179.46,Electricity Maps Model DE_price_day_ahead,669.29,489.83
04/26/2026,373.90,Didyma,225.33,148.57
04/26/2026,669.29,Persistence,225.33,443.96
04/26/2026,488.86,Dodona,225.33,263.53
04/26/2026,190.97,Electricity Maps Model DE_price_day_ahead,225.33,34.36
04/27/2026,351.35,Didyma,169.76,181.59
04/27/2026,225.33,Persistence,169.76,55.57
04/27/2026,447.31,Dodona,169.76,277.55
04/27/2026,152.11,Electricity Maps Model DE_price_day_ahead,169.76,17.65
